cource,type,ver,image_path,rate_0,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10,rate_11
ココナッツモール,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h51m00s.jpg,13939,10743,14598,9172,12931,9582,7748,1018,10375,9130,0,0
N64レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h54m34s.jpg,13931,10752,14612,9170,12955,7767,1016,10379,9123,0,0,0
アイスビルディング,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_01h57m50s.jpg,13945,10765,9175,12938,10386,9122,10547,0,0,0,0,0
N64カラカラさばく,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h01m26s.jpg,10774,9192,12914,10388,9146,10534,17407,17196,9784,0,0,0
新レインボーロード,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h04m58s.jpg,10796,9190,10415,9138,17412,17196,9785,16601,9052,10278,12215,0
ワリオスノーマウンテン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h08m50s.jpg,10789,9194,10401,9151,17421,9779,16621,12216,10293,16277,0,0
チョコマウンテン,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h12m46s.jpg,10808,10430,9166,17405,9774,16636,12197,10275,16274,9911,0,0
キノピオサーキット,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h16m32s.jpg,10833,10411,9168,17413,9779,16656,10268,16276,9921,8056,9767,4287
ドーナツへいや,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h19m40s.jpg,10833,9184,9762,16637,10265,16286,9927,8069,9789,4291,14544,0
DKジャングル,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h27m12s.jpg,10864,9186,9758,16649,10238,14567,10420,18110,0,0,0,0
メイプルツリーハウス,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h31m02s.jpg,10879,9181,9768,10241,14581,10415,18127,10295,10062,9779,0,0
ドルフィンみさき,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h38m54s.jpg,10928,9216,9757,10399,18138,10283,9803,10063,11364,12461,10804,3434
ワリオこうざん,150cc,DLC2,data\images_person2\DLC2_150cc\【マリカ】レート10471 年内の目標を15000【岸堂天真ホロスターズ】_02h42m00s.jpg,10941,9238,9758,10425,18104,10278,9792,10079,11372,12462,10782,3441
